cell_id,grid_x,grid_y,elevation_m,slope_deg,terrain_type,rock_density,dust_depth_cm,solar_exposure_pct,surface_temp_c,hazard_prob,safety_score,traversal_energy_wh_per_m
84,24,1,-14.04,13.08,regolith_plain,0.631,0.0,48.4,-42.2,0.093,0.907,1.417
85,25,1,-8.93,4.84,regolith_plain,0.619,2.13,67.6,-30.5,0.054,0.946,1.245
86,26,1,-10.65,5.31,regolith_plain,0.629,2.67,61.3,-38.6,0.062,0.938,1.221
87,27,1,-10.57,8.6,regolith_plain,0.649,2.35,60.6,-32.3,0.083,0.917,1.439
88,28,1,-4.76,8.48,regolith_plain,0.647,3.22,63.6,-22.6,0.071,0.929,1.363
89,29,1,-6.11,17.47,regolith_plain,0.651,3.48,53.5,-31.2,0.128,0.872,1.797
90,30,1,-1.88,10.73,regolith_plain,0.624,6.1,62.2,-31.0,0.083,0.917,1.459
91,31,1,-3.62,18.43,regolith_plain,0.62,6.56,49.1,-38.8,0.147,0.853,1.773
92,32,1,2.83,15.49,regolith_plain,0.6,6.94,50.4,-45.8,0.123,0.877,1.722
93,33,1,4.56,16.98,regolith_plain,0.613,5.21,50.8,-43.0,0.13,0.87,1.724
94,34,1,7.79,9.83,regolith_plain,0.594,4.87,49.1,-33.2,0.087,0.913,1.48
95,35,1,6.95,2.99,regolith_plain,0.577,4.75,58.0,-38.3,0.049,0.951,1.22
96,36,1,7.06,6.16,regolith_plain,0.597,3.92,55.3,-38.8,0.062,0.938,1.256
97,37,1,10.44,5.31,regolith_plain,0.587,4.22,58.2,-35.7,0.058,0.942,1.302
98,38,1,9.32,45.62,rock_field,0.679,0.0,22.2,-51.5,0.427,0.573,4.27
99,39,1,-11.17,53.59,rock_field,0.714,0.0,5.6,-57.9,0.475,0.525,5.024
100,40,1,-3.42,50.09,rock_field,0.719,0.0,12.6,-50.8,0.464,0.536,4.686
101,41,1,6.99,8.19,regolith_plain,0.603,3.44,68.8,-34.8,0.073,0.927,1.349
102,42,1,-2.02,14.2,regolith_plain,0.604,2.07,52.2,-39.9,0.119,0.881,1.485
103,43,1,8.15,23.24,regolith_plain,0.603,0.28,48.9,-41.1,0.142,0.858,1.889
104,44,1,15.15,10.65,regolith_plain,0.536,2.3,52.7,-34.7,0.08,0.92,1.333
105,45,1,15.51,4.21,regolith_plain,0.534,3.59,64.1,-33.8,0.044,0.956,1.186
106,46,1,14.78,9.96,regolith_plain,0.544,3.05,53.3,-37.4,0.084,0.916,1.361
107,47,1,22.52,18.02,crater_rim,0.52,2.17,48.1,-36.0,0.208,0.792,1.975
108,48,1,27.24,12.26,crater_rim,0.547,3.12,61.6,-34.3,0.195,0.805,1.773
109,49,1,31.01,2.73,regolith_plain,0.599,4.57,56.6,-36.7,0.031,0.969,1.236
110,50,1,28.75,4.82,regolith_plain,0.67,4.29,67.3,-30.0,0.057,0.943,1.303
111,51,1,29.35,3.43,regolith_plain,0.727,4.85,67.7,-29.1,0.053,0.947,1.37
112,52,1,27.3,6.66,regolith_plain,0.735,5.7,59.1,-35.5,0.087,0.913,1.481
113,53,1,24.73,7.6,regolith_plain,0.731,6.98,53.0,-36.8,0.101,0.899,1.463
114,54,1,21.99,8.05,regolith_plain,0.73,8.33,61.6,-37.4,0.093,0.907,1.565
115,55,1,19.28,10.06,regolith_plain,0.734,9.45,55.8,-39.9,0.121,0.879,1.642
116,56,1,15.03,6.13,rock_field,0.789,10.32,64.7,-30.3,0.251,0.749,2.367
117,57,1,16.65,33.15,rock_field,0.929,6.46,33.7,-42.1,0.418,0.582,4.048
118,58,1,-6.29,54.09,rock_field,1.0,3.51,20.1,-46.5,0.534,0.466,5.734
119,59,1,-31.59,55.61,rock_field,1.0,3.47,7.4,-51.6,0.514,0.486,5.612
120,0,2,1.87,18.35,rock_field,0.825,2.51,43.7,-39.8,0.288,0.712,2.836
121,1,2,-0.51,17.26,rock_field,0.797,2.78,52.1,-34.3,0.29,0.71,2.83
122,2,2,-4.18,20.52,rock_field,0.78,2.4,48.7,-34.4,0.29,0.71,3.156
123,3,2,-8.02,18.62,rock_field,0.755,2.8,57.7,-31.4,0.27,0.73,2.749
124,4,2,-12.78,11.58,regolith_plain,0.726,3.95,62.3,-34.0,0.121,0.879,1.581
125,5,2,-11.63,6.96,rock_field,0.768,4.46,64.5,-27.3,0.232,0.768,2.355
126,6,2,-11.3,2.84,rock_field,0.784,4.89,75.7,-28.1,0.199,0.801,2.015
127,7,2,-13.05,7.25,rock_field,0.757,4.05,54.9,-33.7,0.207,0.793,2.257
128,8,2,-15.14,10.4,rock_field,0.752,3.58,54.7,-35.1,0.22,0.78,2.429
129,9,2,-16.21,3.66,regolith_plain,0.712,5.32,60.4,-33.4,0.07,0.93,1.256
130,10,2,-17.7,6.47,regolith_plain,0.677,5.24,60.5,-37.3,0.073,0.927,1.352
131,11,2,-18.53,5.58,regolith_plain,0.625,5.7,55.6,-33.3,0.069,0.931,1.332
132,12,2,-16.52,12.41,regolith_plain,0.617,4.61,60.2,-23.0,0.103,0.897,1.456
133,13,2,-9.74,6.88,regolith_plain,0.624,3.76,61.1,-35.5,0.061,0.939,1.296
134,14,2,-12.01,12.6,regolith_plain,0.619,1.23,47.3,-38.3,0.077,0.923,1.528
135,15,2,-16.8,10.52,regolith_plain,0.575,0.0,52.3,-38.5,0.069,0.931,1.35
136,16,2,-18.46,10.08,regolith_plain,0.575,0.0,60.8,-35.7,0.072,0.928,1.293
137,17,2,-21.4,10.43,regolith_plain,0.586,0.0,63.6,-26.6,0.075,0.925,1.393
138,18,2,-12.09,24.3,regolith_plain,0.661,0.0,55.3,-38.4,0.157,0.843,1.887
139,19,2,-3.39,4.23,regolith_plain,0.651,1.57,82.8,-28.1,0.06,0.94,1.216
140,20,2,-9.38,16.31,regolith_plain,0.68,0.35,54.5,-42.3,0.109,0.891,1.688
141,21,2,-14.04,14.79,regolith_plain,0.679,0.0,47.8,-41.3,0.084,0.916,1.542
142,22,2,-13.22,5.09,regolith_plain,0.676,0.84,51.6,-43.9,0.063,0.937,1.298
143,23,2,-15.29,5.5,regolith_plain,0.689,0.18,65.6,-29.5,0.056,0.944,1.296
144,24,2,-15.18,7.42,regolith_plain,0.662,0.15,57.0,-23.9,0.059,0.941,1.383
145,25,2,-10.14,4.26,regolith_plain,0.631,2.16,62.8,-34.7,0.053,0.947,1.269
146,26,2,-12.44,3.09,regolith_plain,0.626,2.79,62.9,-39.9,0.041,0.959,1.182
147,27,2,-10.32,5.36,regolith_plain,0.644,2.47,63.3,-29.5,0.044,0.956,1.239
148,28,2,-9.49,2.31,regolith_plain,0.657,3.72,73.9,-32.4,0.033,0.967,1.254
149,29,2,-11.88,1.7,regolith_plain,0.632,5.47,69.1,-26.2,0.035,0.965,1.25
150,30,2,-10.66,4.87,regolith_plain,0.585,6.66,63.7,-34.5,0.063,0.937,1.256
151,31,2,-11.81,9.55,regolith_plain,0.57,7.62,53.3,-39.6,0.093,0.907,1.354
152,32,2,-5.04,19.26,regolith_plain,0.611,6.09,38.8,-42.8,0.161,0.839,1.801
153,33,2,-0.35,13.43,regolith_plain,0.616,5.38,52.3,-34.2,0.108,0.892,1.551
154,34,2,3.98,15.2,regolith_plain,0.624,3.62,53.0,-37.7,0.112,0.888,1.543
155,35,2,8.1,5.61,regolith_plain,0.591,3.81,74.4,-31.3,0.052,0.948,1.237
156,36,2,6.17,7.92,regolith_plain,0.598,3.26,62.1,-34.4,0.063,0.937,1.291
157,37,2,11.74,37.23,rock_field,0.681,0.0,34.9,-47.9,0.365,0.635,3.837
158,38,2,-24.22,57.74,rock_field,0.742,0.0,5.0,-51.7,0.491,0.509,5.217
159,39,2,-38.56,41.1,rock_field,0.689,0.0,17.7,-56.0,0.399,0.601,4.041
160,40,2,-33.17,52.08,rock_field,0.699,0.0,6.9,-54.4,0.463,0.537,4.989
161,41,2,0.52,38.01,rock_field,0.636,0.0,23.8,-43.6,0.371,0.629,3.87
162,42,2,-3.23,14.21,regolith_plain,0.545,1.98,67.1,-30.5,0.088,0.912,1.439
163,43,2,10.26,20.96,regolith_plain,0.545,0.23,42.0,-38.0,0.14,0.86,1.7
164,44,2,12.08,11.89,regolith_plain,0.5,2.1,62.0,-33.8,0.094,0.906,1.352
165,45,2,17.6,8.0,regolith_plain,0.496,3.64,55.8,-31.2,0.087,0.913,1.232
166,46,2,17.57,14.46,crater_rim,0.505,3.63,59.7,-30.8,0.205,0.795,1.813
167,47,2,24.52,17.53,crater_rim,0.478,4.13,53.0,-35.1,0.239,0.761,1.989
168,48,2,29.2,6.98,regolith_plain,0.493,5.65,61.4,-30.4,0.068,0.932,1.267
169,49,2,29.32,3.51,regolith_plain,0.551,5.85,65.9,-29.5,0.07,0.93,1.141
170,50,2,31.05,3.89,regolith_plain,0.618,5.48,61.8,-35.7,0.062,0.938,1.188
171,51,2,27.84,6.31,regolith_plain,0.695,5.08,65.7,-37.9,0.083,0.917,1.434
172,52,2,26.89,4.96,regolith_plain,0.698,6.23,61.8,-32.3,0.074,0.926,1.308
173,53,2,25.52,9.91,regolith_plain,0.715,6.53,51.7,-35.4,0.105,0.895,1.564
174,54,2,20.69,10.96,regolith_plain,0.723,7.41,50.3,-33.8,0.114,0.886,1.632
175,55,2,17.77,7.57,regolith_plain,0.72,8.96,62.7,-37.7,0.122,0.878,1.483
176,56,2,15.87,6.93,rock_field,0.783,10.27,71.9,-34.5,0.242,0.758,2.5
177,57,2,22.28,38.2,crater_rim,0.93,6.8,28.9,-43.7,0.401,0.599,3.699
178,58,2,-15.35,55.39,rock_field,1.0,5.45,8.4,-52.9,0.549,0.451,5.512
179,59,2,-35.69,45.95,rock_field,1.0,8.09,21.2,-55.9,0.503,0.497,5.144
180,0,3,-5.46,17.35,rock_field,0.764,2.88,58.8,-33.2,0.277,0.723,2.905
181,1,3,-8.43,22.68,rock_field,0.757,1.85,46.4,-46.4,0.318,0.682,3.198
182,2,3,-10.51,15.32,regolith_plain,0.722,2.73,50.7,-41.3,0.131,0.869,1.705
183,3,3,-12.09,10.36,regolith_plain,0.731,3.24,65.2,-27.1,0.095,0.905,1.498
184,4,3,-13.44,2.55,regolith_plain,0.73,4.2,69.8,-23.7,0.054,0.946,1.33
185,5,3,-12.46,6.83,rock_field,0.762,3.56,71.7,-35.1,0.2,0.8,2.322
186,6,3,-13.2,7.91,rock_field,0.779,3.4,62.4,-34.8,0.225,0.775,2.29
187,7,3,-14.16,3.4,rock_field,0.76,4.07,58.9,-34.6,0.201,0.799,1.991
188,8,3,-14.75,6.8,rock_field,0.777,3.79,54.3,-29.2,0.224,0.776,2.222
189,9,3,-18.88,10.52,rock_field,0.769,4.52,68.3,-33.5,0.246,0.754,2.427
190,10,3,-20.45,6.28,regolith_plain,0.713,6.11,73.4,-31.8,0.084,0.916,1.38
191,11,3,-20.98,5.25,regolith_plain,0.649,7.22,63.1,-27.4,0.076,0.924,1.359
192,12,3,-19.32,8.22,regolith_plain,0.622,7.22,58.7,-36.7,0.091,0.909,1.448
193,13,3,-16.99,15.03,regolith_plain,0.653,4.59,62.2,-30.8,0.134,0.866,1.732
194,14,3,-16.42,11.68,regolith_plain,0.645,3.49,50.5,-43.6,0.082,0.918,1.437
195,15,3,-18.84,10.84,regolith_plain,0.638,2.01,52.7,-37.4,0.083,0.917,1.385
196,16,3,-21.93,2.79,regolith_plain,0.594,1.86,70.8,-37.0,0.024,0.976,1.155
197,17,3,-16.93,13.64,regolith_plain,0.584,0.0,52.6,-40.8,0.112,0.888,1.426
198,18,3,-14.11,9.15,regolith_plain,0.587,1.59,59.9,-30.8,0.083,0.917,1.293
199,19,3,-10.8,17.48,regolith_plain,0.628,1.44,49.8,-37.9,0.12,0.88,1.722
200,20,3,-13.74,13.64,regolith_plain,0.621,2.41,57.0,-36.6,0.091,0.909,1.539
201,21,3,-19.06,8.13,regolith_plain,0.626,2.22,69.5,-33.9,0.06,0.94,1.326
202,22,3,-17.45,9.95,regolith_plain,0.661,0.93,59.6,-35.1,0.09,0.91,1.445
203,23,3,-14.59,3.82,regolith_plain,0.674,0.83,69.7,-29.5,0.03,0.97,1.227
204,24,3,-14.86,6.42,regolith_plain,0.697,0.38,50.6,-33.4,0.062,0.938,1.347
205,25,3,-10.1,9.02,regolith_plain,0.701,1.38,59.8,-44.7,0.089,0.911,1.382
206,26,3,-8.51,6.01,regolith_plain,0.678,2.14,58.3,-38.1,0.052,0.948,1.333
207,27,3,-8.26,8.71,regolith_plain,0.682,1.6,53.1,-35.9,0.078,0.922,1.367
208,28,3,-5.16,9.1,regolith_plain,0.691,2.28,54.7,-36.5,0.081,0.919,1.418
209,29,3,-5.93,12.95,regolith_plain,0.663,3.42,53.8,-34.9,0.104,0.896,1.518
210,30,3,-5.28,11.72,regolith_plain,0.579,5.32,62.6,-32.6,0.095,0.905,1.452
211,31,3,-7.32,11.28,regolith_plain,0.555,7.1,49.6,-39.6,0.114,0.886,1.423
212,32,3,-5.17,12.88,regolith_plain,0.603,6.77,56.0,-38.2,0.128,0.872,1.603
213,33,3,1.4,9.03,regolith_plain,0.62,5.67,57.2,-36.5,0.087,0.913,1.482
214,34,3,0.96,6.28,regolith_plain,0.612,4.51,61.1,-29.5,0.071,0.929,1.253
215,35,3,3.69,7.41,regolith_plain,0.599,2.99,67.9,-34.5,0.066,0.934,1.33
216,36,3,2.85,10.06,regolith_plain,0.597,2.55,62.2,-33.8,0.064,0.936,1.396
217,37,3,10.57,38.9,rock_field,0.66,0.0,35.2,-41.9,0.378,0.622,4.014
218,38,3,-29.22,55.2,rock_field,0.689,0.0,8.4,-45.8,0.463,0.537,5.416
219,39,3,-44.9,19.81,regolith_plain,0.575,3.6,44.0,-41.1,0.138,0.862,1.78
220,40,3,-36.72,49.09,rock_field,0.617,0.0,14.7,-46.0,0.436,0.564,4.553
221,41,3,-2.0,44.8,rock_field,0.59,0.0,22.2,-42.3,0.415,0.585,4.51
222,42,3,0.76,16.74,regolith_plain,0.497,1.52,52.6,-37.0,0.119,0.881,1.577
223,43,3,8.76,15.29,regolith_plain,0.466,0.69,46.7,-39.6,0.113,0.887,1.48
224,44,3,11.04,11.41,regolith_plain,0.439,2.16,58.0,-36.2,0.079,0.921,1.349
225,45,3,16.72,15.96,regolith_plain,0.459,3.07,53.8,-37.5,0.13,0.87,1.43
226,46,3,22.43,16.04,crater_rim,0.458,4.64,67.5,-28.4,0.229,0.771,1.916
227,47,3,27.47,7.16,regolith_plain,0.415,7.57,73.4,-29.1,0.064,0.936,1.17
228,48,3,26.3,2.96,regolith_plain,0.46,7.99,61.6,-33.3,0.044,0.956,1.138
229,49,3,29.4,6.82,regolith_plain,0.553,6.75,60.8,-38.9,0.077,0.923,1.347
230,50,3,31.03,4.87,regolith_plain,0.632,6.39,55.9,-40.0,0.063,0.937,1.245
231,51,3,27.83,9.37,regolith_plain,0.735,5.29,56.1,-27.3,0.099,0.901,1.469
232,52,3,24.72,10.46,regolith_plain,0.737,5.68,60.4,-35.1,0.114,0.886,1.577
233,53,3,21.5,8.82,regolith_plain,0.72,6.59,67.5,-35.1,0.113,0.887,1.473
234,54,3,21.75,0.35,regolith_plain,0.677,8.51,65.2,-27.3,0.047,0.953,1.249
235,55,3,21.52,9.82,regolith_plain,0.675,7.75,55.3,-35.3,0.12,0.88,1.541
236,56,3,16.86,4.87,regolith_plain,0.72,10.65,51.8,-35.6,0.089,0.911,1.409
237,57,3,20.73,30.91,crater_rim,0.851,9.0,35.0,-44.2,0.373,0.627,3.077
238,58,3,-5.97,53.93,rock_field,0.963,7.81,5.0,-55.3,0.551,0.449,5.837
239,59,3,-24.23,50.21,rock_field,1.0,10.63,11.6,-52.7,0.526,0.474,5.56
240,0,4,-9.12,24.45,regolith_plain,0.729,2.14,37.8,-47.5,0.168,0.832,1.98
241,1,4,-16.45,17.5,regolith_plain,0.695,2.61,50.2,-38.0,0.131,0.869,1.672
242,2,4,-14.51,15.59,regolith_plain,0.682,2.33,42.3,-39.2,0.115,0.885,1.681
243,3,4,-14.72,7.81,regolith_plain,0.716,2.93,52.6,-29.5,0.088,0.912,1.356
244,4,4,-14.52,7.21,rock_field,0.756,2.5,74.8,-28.7,0.193,0.807,2.166
245,5,4,-16.41,9.89,rock_field,0.763,2.25,51.4,-46.6,0.213,0.787,2.377
246,6,4,-16.59,11.67,rock_field,0.772,2.13,50.6,-37.9,0.244,0.756,2.514
247,7,4,-14.85,8.07,rock_field,0.781,2.82,72.1,-19.1,0.214,0.786,2.415
248,8,4,-14.51,10.4,rock_field,0.812,2.89,76.0,-25.2,0.235,0.765,2.422
249,9,4,-20.98,10.8,rock_field,0.8,4.61,51.1,-40.8,0.255,0.745,2.482
250,10,4,-21.56,5.95,regolith_plain,0.742,6.86,61.2,-31.9,0.1,0.9,1.378
251,11,4,-22.03,5.41,regolith_plain,0.677,8.47,66.1,-35.7,0.097,0.903,1.362
252,12,4,-20.71,5.07,regolith_plain,0.633,9.43,74.8,-35.2,0.089,0.911,1.381
253,13,4,-20.08,5.78,regolith_plain,0.637,7.76,57.7,-37.0,0.078,0.922,1.36
254,14,4,-20.08,3.69,regolith_plain,0.647,6.51,64.5,-32.7,0.061,0.939,1.228
255,15,4,-22.12,3.06,regolith_plain,0.667,5.04,71.3,-38.0,0.052,0.948,1.241
256,16,4,-18.87,13.47,regolith_plain,0.653,2.11,57.8,-39.6,0.094,0.906,1.57
257,17,4,-15.65,7.02,regolith_plain,0.564,2.54,60.0,-34.2,0.053,0.947,1.31
258,18,4,-14.08,0.58,regolith_plain,0.539,4.57,68.6,-33.1,0.042,0.958,1.051
259,19,4,-15.98,5.38,regolith_plain,0.551,4.91,55.8,-34.4,0.055,0.945,1.276
260,20,4,-14.48,3.7,regolith_plain,0.554,5.41,64.5,-37.8,0.042,0.958,1.232
261,21,4,-18.38,10.23,regolith_plain,0.605,3.03,57.2,-32.4,0.095,0.905,1.426
262,22,4,-18.63,5.96,regolith_plain,0.632,2.26,64.8,-37.3,0.045,0.955,1.275
263,23,4,-15.95,6.68,regolith_plain,0.676,0.75,59.3,-27.7,0.064,0.936,1.379
264,24,4,-15.37,9.16,regolith_plain,0.728,0.05,62.8,-39.9,0.06,0.94,1.424
265,25,4,-10.06,9.7,regolith_plain,0.738,1.24,65.4,-36.6,0.106,0.894,1.543
266,26,4,-8.65,7.43,regolith_plain,0.711,1.77,62.8,-31.5,0.09,0.91,1.44
267,27,4,-5.19,10.27,regolith_plain,0.707,1.1,60.8,-27.2,0.078,0.922,1.536
268,28,4,-3.52,3.7,regolith_plain,0.69,2.75,66.2,-30.8,0.053,0.947,1.28
269,29,4,-2.69,3.02,regolith_plain,0.641,4.57,66.7,-29.9,0.042,0.958,1.262
270,30,4,-2.47,2.7,regolith_plain,0.544,6.33,62.7,-33.6,0.042,0.958,1.193
271,31,4,-3.83,4.66,regolith_plain,0.533,7.76,66.8,-36.5,0.065,0.935,1.186
272,32,4,-2.3,7.38,regolith_plain,0.603,7.25,61.3,-36.2,0.089,0.911,1.303
273,33,4,1.32,4.2,regolith_plain,0.626,6.04,77.9,-33.2,0.068,0.932,1.243
274,34,4,0.21,2.83,regolith_plain,0.616,4.65,76.3,-33.9,0.052,0.948,1.146
275,35,4,3.26,6.05,regolith_plain,0.597,2.79,65.7,-30.7,0.055,0.945,1.269
