route_id,vehicle_type,route_type,start_x,start_y,end_x,end_y,num_cells,distance_km,avg_slope_deg,max_slope_deg,avg_rock_density,pct_high_hazard_cells,dominant_terrain,payload_kg,payload_fraction_of_max,battery_capacity_wh,total_energy_wh,energy_margin_pct,safety_score,mission_success
14,swarm_builder,naive,36,29,58,15,34,0.834,8.69,19.49,0.45,0.382,regolith_plain,2.9,0.193,1200.0,1058.8,11.77,0.613,1
15,swarm_builder,optimized,43,33,46,53,21,0.491,5.86,12.43,0.669,0.0,regolith_plain,2.6,0.173,1200.0,529.3,55.89,0.903,1
16,light_scout,optimized,0,20,36,24,181,3.965,19.37,29.88,0.671,0.785,regolith_plain,22.0,0.55,3500.0,8172.6,-133.5,0.388,0
17,cargo_hauler,naive,33,29,53,23,25,0.629,11.13,25.33,0.482,0.16,regolith_plain,90.3,0.15,14000.0,1232.2,91.2,0.756,1
18,light_scout,optimized,31,41,51,59,23,0.573,7.71,15.69,0.701,0.435,regolith_plain,36.7,0.918,3500.0,1359.3,61.16,0.585,1
19,swarm_builder,naive,22,45,46,52,33,0.781,9.51,36.13,0.65,0.182,regolith_plain,8.1,0.54,1200.0,1230.2,-2.52,0.755,0
20,cargo_hauler,optimized,2,48,24,51,25,0.604,11.94,21.67,0.445,0.08,regolith_plain,90.2,0.15,14000.0,1146.5,91.81,0.825,1
21,light_scout,naive,7,15,54,46,85,2.094,13.05,37.87,0.714,0.482,regolith_plain,36.8,0.92,3500.0,5430.0,-55.14,0.513,0
22,light_scout,naive,14,1,23,37,90,2.145,14.34,37.87,0.622,0.478,regolith_plain,7.8,0.195,3500.0,3965.7,-13.31,0.537,0
23,light_scout,naive,38,11,48,42,56,1.365,13.28,29.57,0.591,0.357,regolith_plain,33.3,0.832,3500.0,2854.8,18.43,0.622,1
24,cargo_hauler,optimized,4,13,16,50,38,0.972,9.52,18.25,0.537,0.026,regolith_plain,106.2,0.177,14000.0,1945.6,86.1,0.839,1
25,light_scout,naive,45,42,18,54,42,1.019,9.78,28.27,0.723,0.595,rock_field,26.2,0.655,3500.0,2377.1,32.08,0.466,0
26,light_scout,naive,37,54,26,27,53,1.289,12.29,34.22,0.656,0.34,regolith_plain,7.3,0.182,3500.0,2211.3,36.82,0.628,1
27,crew_transport,naive,46,46,46,9,47,1.177,9.88,22.51,0.545,0.191,regolith_plain,136.6,0.546,9500.0,2544.6,73.21,0.737,1
28,light_scout,optimized,2,22,39,10,42,1.052,9.91,22.32,0.665,0.167,regolith_plain,35.0,0.875,3500.0,2014.0,42.46,0.762,1
29,swarm_builder,naive,51,17,3,1,66,1.64,9.44,22.51,0.632,0.273,regolith_plain,10.0,0.667,1200.0,2661.9,-121.82,0.7,0
30,crew_transport,naive,6,13,31,58,93,2.254,13.29,38.42,0.613,0.269,regolith_plain,45.5,0.182,9500.0,4832.3,49.13,0.672,1
31,swarm_builder,optimized,56,45,10,47,47,1.152,10.04,21.51,0.592,0.149,regolith_plain,13.5,0.9,1200.0,1847.1,-53.92,0.787,0
32,swarm_builder,optimized,53,15,3,9,53,1.322,9.75,18.43,0.622,0.189,regolith_plain,12.4,0.827,1200.0,2189.8,-82.48,0.758,0
33,cargo_hauler,naive,49,23,32,47,40,0.962,8.7,17.18,0.675,0.325,regolith_plain,483.3,0.806,14000.0,2992.0,78.63,0.659,1
34,crew_transport,naive,38,47,3,1,84,1.975,14.11,37.87,0.694,0.524,regolith_plain,56.2,0.225,9500.0,5197.8,45.29,0.483,0
35,cargo_hauler,optimized,40,5,25,33,181,3.94,13.55,37.67,0.703,0.11,regolith_plain,84.4,0.141,14000.0,9032.8,35.48,0.76,1
36,swarm_builder,naive,52,55,46,38,35,0.821,10.5,22.63,0.719,0.343,regolith_plain,10.4,0.693,1200.0,1512.2,-26.02,0.646,0
37,swarm_builder,optimized,27,43,36,11,33,0.781,10.17,25.48,0.582,0.182,regolith_plain,14.0,0.933,1200.0,1347.7,-12.31,0.758,0
38,crew_transport,naive,2,23,46,28,69,1.667,14.12,37.11,0.632,0.377,regolith_plain,139.8,0.559,9500.0,4503.2,52.6,0.585,1
39,cargo_hauler,naive,10,12,17,55,81,2.014,11.53,36.87,0.514,0.173,regolith_plain,287.7,0.48,14000.0,5022.1,64.13,0.75,1
40,cargo_hauler,optimized,8,12,44,52,49,1.258,9.51,24.43,0.62,0.327,regolith_plain,307.5,0.512,14000.0,3268.8,76.65,0.662,1
41,cargo_hauler,naive,35,2,25,19,29,0.684,8.46,15.44,0.683,0.138,regolith_plain,238.1,0.397,14000.0,1774.9,87.32,0.775,1
42,crew_transport,optimized,59,12,58,46,36,0.866,8.34,18.86,0.402,0.028,regolith_plain,56.1,0.224,9500.0,1304.1,86.27,0.855,1
43,cargo_hauler,naive,24,39,27,13,51,1.174,19.53,35.71,0.683,0.804,regolith_plain,598.3,0.997,14000.0,5668.3,59.51,0.275,0
44,crew_transport,optimized,32,31,24,52,22,0.553,11.22,27.91,0.518,0.045,regolith_plain,230.1,0.92,9500.0,1317.6,86.13,0.82,1
45,swarm_builder,naive,48,22,28,41,53,1.264,11.03,22.23,0.517,0.113,regolith_plain,4.6,0.307,1200.0,1631.8,-35.98,0.777,0
46,swarm_builder,optimized,35,59,50,9,51,1.29,8.84,26.16,0.571,0.118,regolith_plain,8.5,0.567,1200.0,1737.9,-44.83,0.798,0
47,swarm_builder,naive,38,49,9,33,65,1.587,12.32,35.71,0.561,0.215,regolith_plain,3.5,0.233,1200.0,2162.4,-80.2,0.71,0
48,swarm_builder,optimized,10,7,52,55,67,1.668,10.0,24.34,0.69,0.194,regolith_plain,1.6,0.107,1200.0,2116.0,-76.33,0.741,0
49,cargo_hauler,naive,39,56,3,9,88,2.121,10.82,30.66,0.627,0.25,regolith_plain,598.1,0.997,14000.0,6944.7,50.4,0.693,1
50,swarm_builder,optimized,22,45,27,22,181,4.702,6.89,27.14,0.711,0.127,regolith_plain,7.4,0.493,1200.0,6767.7,-463.98,0.764,0
51,crew_transport,optimized,29,20,23,38,63,1.406,11.98,19.28,0.678,0.095,regolith_plain,193.1,0.772,9500.0,3528.3,62.86,0.778,1
52,cargo_hauler,optimized,30,5,56,17,27,0.669,12.9,24.24,0.564,0.519,regolith_plain,311.0,0.518,14000.0,1875.8,86.6,0.536,1
53,cargo_hauler,naive,0,49,11,10,65,1.578,11.09,26.0,0.537,0.062,regolith_plain,99.4,0.166,14000.0,3270.7,76.64,0.833,1
54,cargo_hauler,naive,7,55,26,8,75,1.828,10.58,23.15,0.576,0.16,regolith_plain,525.3,0.876,14000.0,5346.6,61.81,0.765,1
55,crew_transport,optimized,6,59,31,16,61,1.531,12.01,27.27,0.551,0.361,regolith_plain,103.0,0.412,9500.0,3331.5,64.93,0.625,1
56,swarm_builder,naive,52,46,18,59,61,1.473,14.94,40.96,0.642,0.246,regolith_plain,11.6,0.773,1200.0,2843.0,-136.92,0.684,0
57,cargo_hauler,optimized,2,13,55,6,56,1.423,8.23,19.55,0.605,0.071,regolith_plain,567.6,0.946,14000.0,3944.2,71.83,0.839,1
58,swarm_builder,naive,40,31,31,1,53,1.297,9.81,24.34,0.656,0.189,regolith_plain,3.4,0.227,1200.0,1806.6,-50.55,0.744,0
59,light_scout,naive,1,57,2,33,36,0.866,8.12,17.85,0.574,0.0,regolith_plain,20.9,0.522,3500.0,1211.5,65.39,0.907,1
60,swarm_builder,optimized,33,10,14,27,21,0.549,8.9,18.44,0.723,0.429,regolith_plain,11.9,0.793,1200.0,1146.8,4.43,0.565,0
61,crew_transport,naive,50,18,19,0,57,1.344,10.55,30.09,0.616,0.281,regolith_plain,164.9,0.66,9500.0,3189.6,66.43,0.703,1
62,light_scout,naive,3,24,24,35,41,1.032,16.11,35.41,0.563,0.366,regolith_plain,18.9,0.472,3500.0,2053.0,41.34,0.583,1
63,swarm_builder,optimized,20,53,13,13,42,1.002,8.06,22.12,0.524,0.0,regolith_plain,6.1,0.407,1200.0,1239.8,-3.32,0.865,0
64,crew_transport,naive,36,24,22,15,22,0.553,14.21,26.4,0.674,0.5,regolith_plain,67.5,0.27,9500.0,1317.7,86.13,0.528,1
65,cargo_hauler,optimized,20,48,29,6,46,1.132,9.95,20.3,0.606,0.348,regolith_plain,86.2,0.144,14000.0,2666.3,80.96,0.63,1
66,light_scout,optimized,15,33,25,6,28,0.673,9.3,18.44,0.637,0.321,regolith_plain,34.4,0.86,3500.0,1476.9,57.8,0.663,1
67,swarm_builder,optimized,24,47,50,34,28,0.706,7.73,22.23,0.631,0.036,regolith_plain,1.6,0.107,1200.0,834.1,30.49,0.845,1
68,light_scout,naive,49,46,14,34,42,1.019,11.74,24.43,0.613,0.381,regolith_plain,35.5,0.888,3500.0,2290.8,34.55,0.601,1
69,swarm_builder,optimized,24,39,34,24,181,3.849,5.08,21.47,0.725,0.072,regolith_plain,3.7,0.247,1200.0,4296.2,-258.02,0.882,0
70,light_scout,naive,59,21,25,3,56,1.373,11.01,26.16,0.55,0.393,regolith_plain,36.6,0.915,3500.0,2826.8,19.23,0.613,1
71,swarm_builder,naive,14,3,38,58,89,2.182,15.26,35.41,0.655,0.573,regolith_plain,2.4,0.16,1200.0,3596.2,-199.68,0.46,0
72,swarm_builder,naive,28,36,14,50,31,0.749,12.68,24.97,0.488,0.258,regolith_plain,5.5,0.367,1200.0,1024.5,14.62,0.686,1
73,swarm_builder,optimized,16,56,12,40,17,0.419,11.83,25.56,0.424,0.118,regolith_plain,14.1,0.94,1200.0,643.7,46.36,0.802,1
74,cargo_hauler,naive,20,0,44,14,34,0.834,13.88,28.11,0.667,0.471,regolith_plain,422.8,0.705,14000.0,2766.7,80.24,0.552,1
75,swarm_builder,naive,44,44,54,31,21,0.508,9.06,19.77,0.643,0.333,regolith_plain,1.9,0.127,1200.0,666.9,44.42,0.666,1
76,swarm_builder,optimized,26,49,31,26,181,4.072,16.27,27.14,0.687,0.249,regolith_plain,14.1,0.94,1200.0,7809.9,-550.82,0.701,0
77,crew_transport,naive,12,18,33,24,41,0.974,16.78,33.02,0.727,0.756,rock_field,233.7,0.935,9500.0,4140.9,56.41,0.299,0
78,crew_transport,optimized,50,0,48,59,71,1.756,6.37,16.55,0.599,0.113,regolith_plain,32.6,0.13,9500.0,2869.3,69.8,0.83,1
79,crew_transport,naive,17,57,35,2,90,2.211,13.64,35.68,0.587,0.389,regolith_plain,50.3,0.201,9500.0,4796.3,49.51,0.586,1
80,crew_transport,optimized,36,8,42,51,45,1.12,10.62,27.8,0.608,0.222,regolith_plain,175.0,0.7,9500.0,2514.8,73.53,0.736,1
81,cargo_hauler,optimized,29,10,43,44,37,0.935,8.49,26.4,0.635,0.108,regolith_plain,296.3,0.494,14000.0,2360.8,83.14,0.802,1
82,light_scout,optimized,9,33,59,45,54,1.317,8.36,20.72,0.596,0.315,regolith_plain,26.2,0.655,3500.0,2351.8,32.81,0.682,1
83,swarm_builder,optimized,48,8,36,35,30,0.746,9.29,23.17,0.566,0.233,regolith_plain,8.1,0.54,1200.0,1083.8,9.68,0.722,1
84,crew_transport,optimized,39,1,5,17,35,0.862,8.92,53.59,0.629,0.029,regolith_plain,127.6,0.51,9500.0,1643.0,82.71,0.859,1
85,cargo_hauler,optimized,57,5,35,23,29,0.693,9.94,21.56,0.54,0.276,regolith_plain,309.5,0.516,14000.0,1762.1,87.41,0.686,1
86,crew_transport,optimized,14,8,29,3,16,0.375,7.58,12.95,0.641,0.0,regolith_plain,84.2,0.337,9500.0,650.8,93.15,0.908,1
87,swarm_builder,optimized,46,39,1,17,51,1.34,10.55,24.43,0.587,0.216,regolith_plain,8.3,0.553,1200.0,1964.4,-63.7,0.732,0
88,light_scout,naive,28,1,31,36,58,1.413,14.48,42.07,0.629,0.362,regolith_plain,30.0,0.75,3500.0,3238.5,7.47,0.59,1
89,cargo_hauler,optimized,34,15,4,12,36,0.849,9.42,26.95,0.654,0.111,regolith_plain,134.7,0.224,14000.0,1861.6,86.7,0.802,1
90,crew_transport,optimized,20,31,59,1,181,4.66,8.11,31.01,0.703,0.16,regolith_plain,125.6,0.502,9500.0,10193.7,-7.3,0.744,0
91,cargo_hauler,naive,59,26,57,11,28,0.673,10.85,25.88,0.43,0.321,regolith_plain,498.2,0.83,14000.0,1896.6,86.45,0.632,1
92,swarm_builder,optimized,10,7,23,27,26,0.649,12.1,33.78,0.718,0.462,regolith_plain,11.4,0.76,1200.0,1420.0,-18.33,0.529,0
93,light_scout,naive,1,57,40,38,61,1.482,10.07,19.29,0.6,0.344,regolith_plain,33.7,0.842,3500.0,3195.0,8.71,0.63,1
94,crew_transport,naive,2,40,35,47,79,1.858,9.29,20.72,0.569,0.405,regolith_plain,218.9,0.876,9500.0,4868.3,48.75,0.611,1
95,light_scout,optimized,36,10,39,32,23,0.531,9.97,25.48,0.548,0.174,regolith_plain,33.4,0.835,3500.0,966.8,72.38,0.751,1
96,light_scout,naive,20,48,58,23,57,1.41,9.13,22.23,0.541,0.07,regolith_plain,17.3,0.432,3500.0,2113.6,39.61,0.819,1
97,swarm_builder,naive,56,15,53,55,63,1.513,10.04,26.43,0.508,0.159,regolith_plain,3.9,0.26,1200.0,1755.9,-46.32,0.79,0
98,light_scout,optimized,32,23,45,57,44,1.042,7.44,24.34,0.647,0.068,regolith_plain,8.2,0.205,3500.0,1336.3,61.82,0.85,1
99,cargo_hauler,naive,40,43,30,3,71,1.715,11.42,32.13,0.667,0.338,regolith_plain,218.4,0.364,14000.0,4755.4,66.03,0.633,1
100,swarm_builder,naive,44,51,2,12,119,2.832,13.07,37.87,0.664,0.412,regolith_plain,3.3,0.22,1200.0,4728.6,-294.05,0.561,0
101,crew_transport,optimized,0,22,49,27,54,1.333,9.62,21.25,0.568,0.167,regolith_plain,118.8,0.475,9500.0,2699.9,71.58,0.756,1
102,crew_transport,optimized,48,58,19,32,32,0.819,9.44,20.15,0.626,0.344,regolith_plain,28.9,0.116,9500.0,1508.4,84.12,0.653,1
103,crew_transport,naive,16,16,33,59,82,1.976,19.0,40.48,0.67,0.549,regolith_plain,152.5,0.61,9500.0,6923.1,27.13,0.419,0
104,crew_transport,naive,0,9,14,19,28,0.648,11.25,26.0,0.675,0.214,crater_floor,41.0,0.164,9500.0,1252.3,86.82,0.729,1
105,light_scout,optimized,41,48,21,54,25,0.596,11.95,25.4,0.643,0.2,regolith_plain,14.9,0.372,3500.0,973.4,72.19,0.745,1
106,cargo_hauler,naive,59,21,24,54,76,1.807,12.23,35.33,0.629,0.368,regolith_plain,514.7,0.858,14000.0,6689.6,52.22,0.592,1
107,cargo_hauler,optimized,18,11,2,15,17,0.403,8.55,18.2,0.687,0.118,crater_floor,262.9,0.438,14000.0,1001.4,92.85,0.806,1
108,light_scout,optimized,6,34,56,20,53,1.305,9.01,20.21,0.481,0.151,regolith_plain,21.6,0.54,3500.0,2002.9,42.77,0.775,1
109,light_scout,optimized,57,8,8,43,58,1.463,9.47,22.61,0.521,0.19,regolith_plain,23.0,0.575,3500.0,2362.5,32.5,0.747,1
110,crew_transport,optimized,41,17,48,2,16,0.358,9.38,17.73,0.519,0.375,regolith_plain,75.4,0.302,9500.0,692.1,92.71,0.647,1
111,light_scout,naive,50,39,56,57,29,0.693,9.37,19.62,0.702,0.138,regolith_plain,8.4,0.21,3500.0,1007.4,71.22,0.802,1
112,crew_transport,naive,26,52,39,35,29,0.693,13.9,41.99,0.769,0.69,rock_field,224.5,0.898,9500.0,2701.5,71.56,0.367,0
113,light_scout,optimized,56,53,17,40,41,0.999,9.22,20.3,0.645,0.22,regolith_plain,30.5,0.762,3500.0,1860.9,46.83,0.731,1
114,swarm_builder,naive,26,7,57,22,53,1.272,13.34,27.78,0.565,0.566,regolith_plain,4.5,0.3,1200.0,1882.3,-56.86,0.498,0
115,light_scout,naive,37,25,3,8,53,1.297,10.19,32.08,0.7,0.302,regolith_plain,12.4,0.31,3500.0,2361.3,32.53,0.661,1
116,light_scout,naive,11,22,55,53,102,2.385,13.21,36.65,0.685,0.5,regolith_plain,28.2,0.705,3500.0,5651.7,-61.48,0.518,0
117,cargo_hauler,naive,55,38,9,35,83,1.947,13.09,37.66,0.56,0.169,regolith_plain,569.7,0.95,14000.0,6419.6,54.15,0.722,1
118,cargo_hauler,optimized,10,22,46,4,44,1.067,9.06,21.72,0.642,0.205,regolith_plain,77.4,0.129,14000.0,2351.1,83.21,0.742,1
119,swarm_builder,optimized,7,39,22,13,32,0.786,10.08,22.23,0.591,0.219,regolith_plain,5.3,0.353,1200.0,1031.7,14.02,0.73,1
120,cargo_hauler,naive,14,5,40,54,113,2.712,13.79,36.65,0.662,0.549,regolith_plain,467.2,0.779,14000.0,10017.9,28.44,0.483,0
121,crew_transport,naive,56,22,7,17,76,1.873,11.67,26.0,0.597,0.316,regolith_plain,136.0,0.544,9500.0,4440.2,53.26,0.659,1
122,swarm_builder,optimized,45,26,9,18,39,0.959,9.52,19.29,0.649,0.179,regolith_plain,11.6,0.773,1200.0,1625.7,-35.48,0.744,0
123,light_scout,optimized,25,53,32,1,56,1.382,10.7,24.34,0.637,0.179,regolith_plain,11.4,0.285,3500.0,2092.1,40.23,0.758,1
124,crew_transport,optimized,9,14,5,59,46,1.115,8.96,19.99,0.54,0.022,regolith_plain,146.3,0.585,9500.0,2106.8,77.82,0.874,1
125,swarm_builder,optimized,55,13,53,49,37,0.902,8.52,18.09,0.487,0.135,regolith_plain,13.1,0.873,1200.0,1344.9,-12.08,0.803,0
126,crew_transport,naive,44,38,0,1,81,1.89,13.0,35.83,0.678,0.457,regolith_plain,176.2,0.705,9500.0,5858.6,38.33,0.523,1
127,crew_transport,naive,30,37,22,6,55,1.32,13.95,35.42,0.677,0.564,regolith_plain,137.0,0.548,9500.0,3939.0,58.54,0.462,0
128,cargo_hauler,naive,52,23,19,34,55,1.362,14.45,35.71,0.519,0.309,regolith_plain,467.0,0.778,14000.0,4288.3,69.37,0.637,1
129,crew_transport,optimized,1,26,25,53,28,0.739,10.85,25.95,0.546,0.25,regolith_plain,192.6,0.77,9500.0,1721.8,81.88,0.716,1
130,crew_transport,optimized,2,37,42,11,43,1.089,10.16,24.24,0.657,0.302,regolith_plain,102.5,0.41,9500.0,2652.5,72.08,0.657,1
131,cargo_hauler,naive,52,51,24,36,73,1.747,9.67,35.71,0.617,0.178,regolith_plain,468.0,0.78,14000.0,5004.1,64.26,0.752,1
132,cargo_hauler,optimized,20,59,47,32,35,0.895,9.52,27.67,0.645,0.171,regolith_plain,224.9,0.375,14000.0,2138.4,84.73,0.756,1
133,cargo_hauler,naive,34,15,50,45,55,1.279,11.1,32.13,0.698,0.455,regolith_plain,520.9,0.868,14000.0,4809.0,65.65,0.548,1
134,light_scout,naive,44,14,15,54,75,1.803,16.36,43.35,0.557,0.573,regolith_plain,12.6,0.315,3500.0,3516.2,-0.46,0.464,0
135,crew_transport,naive,52,34,10,51,64,1.542,11.99,24.97,0.588,0.312,regolith_plain,241.7,0.967,9500.0,4347.9,54.23,0.644,1
136,crew_transport,naive,34,25,24,50,37,0.911,13.72,37.46,0.564,0.189,regolith_plain,101.7,0.407,9500.0,2028.3,78.65,0.709,1
137,swarm_builder,naive,9,27,17,57,38,0.931,14.0,33.13,0.452,0.211,regolith_plain,11.6,0.773,1200.0,1505.7,-25.48,0.721,0
138,swarm_builder,optimized,57,26,26,31,36,0.957,8.81,29.25,0.544,0.139,regolith_plain,14.7,0.98,1200.0,1542.7,-28.56,0.786,0
139,light_scout,naive,5,2,11,33,42,1.019,10.3,22.12,0.617,0.071,regolith_plain,16.5,0.412,3500.0,1619.9,53.72,0.812,1
140,swarm_builder,optimized,55,18,15,17,41,0.991,7.71,16.03,0.574,0.195,regolith_plain,14.5,0.967,1200.0,1692.1,-41.01,0.74,0
141,light_scout,optimized,43,2,39,18,20,0.488,12.61,27.32,0.569,0.35,regolith_plain,34.7,0.868,3500.0,981.6,71.95,0.637,1
142,crew_transport,naive,56,29,11,7,80,1.945,10.9,34.44,0.602,0.388,regolith_plain,205.9,0.824,9500.0,5084.8,46.48,0.615,1
143,cargo_hauler,naive,4,42,50,8,77,1.885,14.72,35.42,0.563,0.481,regolith_plain,188.3,0.314,14000.0,5315.1,62.04,0.523,1
144,swarm_builder,optimized,53,14,18,55,44,1.15,8.36,20.41,0.485,0.091,regolith_plain,14.3,0.953,1200.0,1838.0,-53.17,0.804,0
145,light_scout,naive,1,56,55,15,89,2.133,13.99,37.46,0.505,0.371,regolith_plain,34.2,0.855,3500.0,4551.7,-30.05,0.606,0
146,swarm_builder,naive,6,43,44,42,58,1.405,11.6,23.48,0.562,0.328,regolith_plain,4.7,0.313,1200.0,2007.7,-67.31,0.639,0
147,light_scout,optimized,5,41,52,6,55,1.378,10.32,23.06,0.574,0.273,regolith_plain,29.6,0.74,3500.0,2707.2,22.65,0.683,1
148,swarm_builder,optimized,34,45,36,17,29,0.726,8.99,25.48,0.658,0.345,regolith_plain,7.4,0.493,1200.0,1179.8,1.68,0.638,0
149,light_scout,optimized,9,27,51,21,68,1.613,8.78,25.81,0.646,0.265,regolith_plain,5.4,0.135,3500.0,2275.6,34.98,0.701,1
150,light_scout,optimized,47,34,19,20,91,2.082,9.5,31.68,0.712,0.198,regolith_plain,32.0,0.8,3500.0,4282.9,-22.37,0.717,0
151,light_scout,optimized,34,23,15,40,181,4.312,12.58,22.24,0.708,0.221,regolith_plain,9.3,0.232,3500.0,6957.2,-98.78,0.7,0
152,light_scout,naive,56,7,42,58,73,1.78,10.33,26.86,0.609,0.37,regolith_plain,12.0,0.3,3500.0,2897.5,17.21,0.633,1
153,swarm_builder,optimized,58,4,10,9,50,1.195,7.73,30.81,0.611,0.04,regolith_plain,7.7,0.513,1200.0,1547.9,-28.99,0.859,0
154,crew_transport,naive,30,47,7,12,48,1.164,13.53,35.68,0.654,0.646,regolith_plain,61.6,0.246,9500.0,2991.1,68.51,0.424,0
155,light_scout,naive,25,8,34,55,91,2.231,11.92,40.96,0.72,0.527,regolith_plain,35.7,0.893,3500.0,6073.6,-73.53,0.478,0
156,cargo_hauler,optimized,30,36,21,58,23,0.531,10.48,28.27,0.53,0.087,regolith_plain,385.0,0.642,14000.0,1356.2,90.31,0.807,1
157,cargo_hauler,optimized,6,17,13,53,37,0.927,9.85,18.76,0.501,0.027,regolith_plain,316.0,0.527,14000.0,2130.7,84.78,0.851,1
158,crew_transport,optimized,19,55,48,30,36,0.891,7.54,22.23,0.608,0.083,regolith_plain,178.1,0.712,9500.0,2010.1,78.84,0.819,1
159,cargo_hauler,naive,48,25,35,39,47,1.094,10.4,16.7,0.521,0.128,regolith_plain,486.8,0.811,14000.0,3125.9,77.67,0.771,1
160,crew_transport,naive,17,51,33,8,80,1.978,16.13,35.0,0.609,0.487,regolith_plain,234.7,0.939,9500.0,6595.3,30.58,0.507,1
161,swarm_builder,optimized,27,39,49,57,23,0.606,6.81,15.65,0.671,0.391,regolith_plain,9.8,0.653,1200.0,1006.0,16.17,0.626,1
162,crew_transport,optimized,3,50,57,2,181,4.528,8.26,26.86,0.647,0.144,regolith_plain,174.6,0.698,9500.0,10203.8,-7.41,0.764,0
163,crew_transport,optimized,9,8,18,33,27,0.636,8.59,14.52,0.634,0.074,regolith_plain,38.5,0.154,9500.0,1102.7,88.39,0.821,1
164,light_scout,optimized,13,44,59,47,48,1.122,9.28,22.51,0.603,0.167,regolith_plain,23.6,0.59,3500.0,1849.5,47.16,0.76,1
165,crew_transport,naive,54,17,2,19,86,2.139,12.62,30.09,0.658,0.477,regolith_plain,42.6,0.17,9500.0,4512.4,52.5,0.552,1
166,crew_transport,naive,10,25,43,42,60,1.487,13.63,35.41,0.63,0.467,regolith_plain,41.7,0.167,9500.0,3473.1,63.44,0.521,1
167,cargo_hauler,naive,11,43,5,6,62,1.469,11.84,26.0,0.572,0.194,regolith_plain,364.3,0.607,14000.0,3896.7,72.17,0.735,1
168,swarm_builder,naive,38,19,11,16,46,1.074,16.13,29.32,0.702,0.587,regolith_plain,14.4,0.96,1200.0,2694.8,-124.57,0.428,0
169,cargo_hauler,naive,46,59,53,29,46,1.066,6.83,22.63,0.632,0.196,regolith_plain,454.9,0.758,14000.0,2806.1,79.96,0.778,1
170,cargo_hauler,naive,2,34,27,31,32,0.777,15.79,30.24,0.586,0.375,regolith_plain,67.7,0.113,14000.0,1935.2,86.18,0.603,1
171,light_scout,optimized,39,44,18,0,52,1.302,9.36,21.47,0.667,0.192,regolith_plain,8.1,0.202,3500.0,2003.1,42.77,0.738,1
172,cargo_hauler,optimized,33,17,1,34,40,1.012,10.04,21.06,0.671,0.3,regolith_plain,548.0,0.913,14000.0,3239.3,76.86,0.668,1
173,crew_transport,naive,21,55,52,1,85,2.02,14.66,43.84,0.572,0.341,regolith_plain,91.7,0.367,9500.0,5090.0,46.42,0.61,1
174,cargo_hauler,naive,33,38,16,56,31,0.774,11.3,22.23,0.563,0.161,regolith_plain,493.6,0.823,14000.0,2303.5,83.55,0.753,1
175,crew_transport,optimized,51,31,9,33,43,1.089,7.98,19.95,0.513,0.023,regolith_plain,119.9,0.48,9500.0,2013.8,78.8,0.856,1
176,cargo_hauler,naive,19,29,23,12,33,0.764,13.13,35.48,0.703,0.697,regolith_plain,350.6,0.584,14000.0,2736.7,80.45,0.395,0
