day,sol,crew_size,activity_level,dust_storm_flag,solar_availability,o2_consumption_kg,co2_production_kg,water_use_kg,food_kg,waste_kg,o2_recovery_efficiency,water_recovery_efficiency,net_o2_makeup_kg,net_water_makeup_kg,greenhouse_ventilation_m3_per_h,cabin_co2_ppm_proxy
45,45,100,1.15,0,0.921,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,871
46,46,100,1.15,0,0.851,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,888
47,47,100,0.9,0,0.885,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,834
48,48,100,0.9,0,0.946,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,821
49,49,100,1.15,0,0.922,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,905
50,50,100,1.15,0,0.891,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,872
51,51,100,1.15,0,0.94,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,927
52,52,100,1.15,0,0.881,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,897
53,53,100,1.15,0,0.939,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,928
54,54,100,0.9,0,0.903,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,769
55,55,100,0.9,0,0.924,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,799
56,56,100,1.15,0,0.857,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,883
57,57,100,1.15,0,0.933,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,860
58,58,100,1.15,0,0.877,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,867
59,59,100,1.15,0,0.882,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,876
60,60,100,1.15,0,0.918,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,867
61,61,100,0.9,0,0.924,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,806
62,62,100,0.9,0,0.973,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,809
63,63,100,1.15,0,0.956,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,899
64,64,100,1.15,0,0.891,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,908
65,65,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,896
66,66,100,1.15,0,0.924,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,886
67,67,100,1.15,0,0.938,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,928
68,68,100,0.9,0,0.968,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,763
69,69,100,0.9,0,0.953,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,805
70,70,100,1.15,0,0.884,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,865
71,71,100,1.15,0,0.867,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,928
72,72,100,1.15,0,0.896,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,905
73,73,100,1.15,0,0.939,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,925
74,74,100,1.15,0,0.958,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,939
75,75,100,0.9,0,0.893,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,764
76,76,100,0.9,0,0.993,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,780
77,77,100,1.15,0,0.933,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,874
78,78,100,1.15,0,0.889,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,939
79,79,100,1.15,0,0.955,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,877
80,80,100,1.15,0,0.904,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,880
81,81,100,1.15,0,0.971,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,928
82,82,100,0.9,0,0.898,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,838
83,83,100,0.9,0,0.918,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,760
84,84,100,1.15,0,0.992,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,890
85,85,100,1.15,0,0.952,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,923
86,86,100,1.15,0,0.923,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,863
87,87,100,1.15,0,0.887,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,887
88,88,100,1.15,0,0.868,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,892
89,89,100,0.9,0,0.928,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,818
90,90,100,0.9,0,0.932,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,795
91,91,100,1.15,0,0.965,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,903
92,92,100,1.15,0,0.996,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,925
93,93,100,1.15,0,0.909,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,877
94,94,100,1.15,0,0.835,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,888
95,95,100,1.15,0,0.888,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,890
96,96,100,0.9,0,0.898,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,791
97,97,100,0.9,0,0.933,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,807
98,98,100,1.15,0,0.944,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,860
99,99,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,911
100,100,100,1.15,0,0.914,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,907
101,101,100,1.15,0,0.881,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,939
102,102,100,1.15,0,0.949,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,890
103,103,100,0.9,0,0.917,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,792
104,104,100,0.9,0,0.917,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,820
105,105,100,1.15,0,0.951,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,880
106,106,100,1.15,0,0.916,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,921
107,107,100,1.15,0,0.882,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,929
108,108,100,1.15,0,0.888,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,904
109,109,100,1.15,0,0.856,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,888
110,110,100,0.9,0,0.933,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,819
111,111,100,0.9,0,0.951,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,770
112,112,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,928
113,113,100,1.15,0,0.95,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,874
114,114,100,1.15,0,0.842,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,865
115,115,100,1.15,0,0.915,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,913
116,116,100,1.15,0,0.975,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,877
117,117,100,0.9,0,0.96,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,826
118,118,100,0.9,0,0.887,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,834
119,119,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,876
120,120,100,1.15,0,0.92,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,893
121,121,100,1.15,0,0.89,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,891
122,122,100,1.15,0,0.901,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,880
123,123,100,1.15,0,0.904,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,883
124,124,100,0.9,0,0.909,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,835
125,125,100,0.9,0,0.863,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,816
126,126,100,1.15,0,0.917,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,877
127,127,100,1.15,0,0.955,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,865
128,128,100,1.15,0,0.971,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,884
129,129,100,1.15,0,0.934,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,905
130,130,100,1.15,0,0.954,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,924
131,131,100,0.9,0,0.927,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,807
132,132,100,0.9,0,0.933,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,816
133,133,100,1.15,0,0.916,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,929
134,134,100,1.15,0,0.924,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,897
135,135,100,1.15,0,0.963,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,869
136,136,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,887
137,137,100,1.15,0,0.859,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,913
138,138,100,0.9,0,0.907,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,792
139,139,100,0.9,0,1.0,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,802
140,140,100,1.15,0,0.891,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,930
141,141,100,1.15,0,0.973,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,881
142,142,100,1.15,0,0.876,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,864
143,143,100,1.15,0,0.979,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,905
144,144,100,1.15,0,0.977,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,934
145,145,100,0.9,0,0.868,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,837
146,146,100,0.9,0,0.947,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,825
147,147,100,1.15,0,0.89,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,905
148,148,100,1.15,0,0.932,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,877
149,149,100,1.15,0,0.944,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,894
150,150,100,1.15,0,0.931,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,912
151,151,100,1.15,0,0.9,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,877
152,152,100,0.9,0,0.902,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,765
153,153,100,0.9,0,0.867,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,786
154,154,100,1.15,0,0.974,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,897
155,155,100,1.15,0,0.971,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,920
156,156,100,1.15,0,0.85,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,910
157,157,100,1.15,0,0.927,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,885
158,158,100,1.15,0,0.929,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,933
159,159,100,0.9,0,0.932,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,812
160,160,100,0.9,0,0.808,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,788
161,161,100,1.15,0,0.887,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,879
162,162,100,1.15,0,0.89,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,894
163,163,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,892
164,164,100,1.15,0,0.944,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,922
165,165,100,1.15,0,0.845,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,885
166,166,100,0.9,0,0.994,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,828
167,167,100,0.9,0,0.935,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,782
168,168,100,1.15,0,0.869,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,861
169,169,100,1.15,0,0.962,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,875
170,170,100,1.15,0,0.892,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,903
171,171,100,1.15,0,0.953,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,889
172,172,100,1.15,0,0.961,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,924
173,173,100,0.9,0,0.901,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,798
174,174,100,0.9,0,1.0,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,790
175,175,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,927
176,176,100,1.15,0,0.804,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,908
177,177,100,1.15,0,0.938,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,930
178,178,100,1.15,0,0.904,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,928
179,179,100,1.15,0,0.919,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,860
180,180,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1117
181,181,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1124
182,182,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1168
183,183,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1157
184,184,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1181
185,185,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1152
186,186,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1167
187,187,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1079
188,188,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1119
189,189,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1171
190,190,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1164
191,191,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1190
192,192,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1146
193,193,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1178
194,194,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1125
195,195,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1123
196,196,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1154
197,197,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1212
198,198,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1203
199,199,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1209
200,200,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1153
201,201,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1121
202,202,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1091
203,203,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1204
204,204,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1159
205,205,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1170
206,206,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1141
207,207,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1207
208,208,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1127
209,209,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1072
210,210,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1203
211,211,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1212
212,212,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1199
213,213,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1209
214,214,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1160
215,215,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1113
216,216,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1128
217,217,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1203
218,218,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1205
219,219,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1215
220,220,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1211
221,221,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1206
222,222,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1077
223,223,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1104
224,224,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1178
225,225,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1218
226,226,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1152
227,227,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1173
228,228,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1201
229,229,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1124
230,230,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1092
