sol,t_min_c,t_max_c,t_mean_c,dust_max,pressure_mean_pa,thermal_load_mean_kw,dust_storm_flag
29,-82.79,-25.61,-54.57041666666667,0.205,621.2416666666667,26.799166666666665,0
30,-84.29,-25.81,-54.77458333333333,0.212,620.9041666666667,26.87125,0
31,-83.5,-27.39,-55.501666666666665,0.207,621.8000000000001,27.124583333333334,0
32,-86.0,-26.99,-55.51541666666666,0.213,621.1,27.129166666666666,0
33,-84.24,-27.17,-55.14166666666667,0.209,622.2541666666667,26.999166666666667,0
34,-84.26,-26.43,-54.942499999999995,0.235,622.5124999999999,26.93041666666667,0
35,-83.26,-25.53,-54.62708333333333,0.19,623.8583333333333,26.81833333333333,0
36,-83.12,-25.04,-54.92333333333334,0.192,622.5625,26.923333333333332,0
37,-81.55,-25.31,-54.61333333333334,0.201,623.2583333333333,26.815,0
38,-85.89,-24.51,-55.02875,0.207,624.3208333333333,26.959166666666665,0
39,-84.63,-27.01,-54.923750000000005,0.225,624.2291666666666,26.923333333333332,0
40,-83.21,-25.18,-55.61958333333333,0.208,624.5416666666666,27.16541666666667,0
41,-85.21,-27.07,-54.98374999999999,0.196,624.4833333333333,26.94541666666667,0
42,-84.31,-27.38,-54.949999999999996,0.201,625.8291666666667,26.932083333333335,0
43,-85.77,-26.57,-54.93125,0.234,625.7041666666667,26.92625,0
44,-84.33,-27.37,-54.30416666666667,0.211,626.7166666666667,26.707083333333333,0
45,-83.6,-26.14,-55.150416666666665,0.209,626.4583333333334,27.00208333333333,0
46,-86.52,-26.66,-54.73041666666666,0.221,626.0125,26.85625,0
47,-82.66,-23.7,-55.1275,0.209,627.4708333333333,26.994583333333335,0
48,-81.78,-25.12,-54.59583333333333,0.221,627.9,26.808333333333334,0
49,-85.23,-27.16,-55.32,0.206,629.0416666666666,27.062083333333334,0
50,-82.46,-26.03,-55.21958333333333,0.214,627.7708333333334,27.027083333333334,0
51,-83.36,-25.96,-54.77291666666667,0.201,627.6458333333334,26.869583333333335,0
52,-83.28,-25.6,-54.58916666666667,0.225,629.1666666666666,26.805000000000003,0
53,-84.31,-25.32,-54.461666666666666,0.216,628.1291666666667,26.760416666666668,0
54,-83.79,-24.88,-55.155833333333334,0.209,630.125,27.00583333333333,0
55,-84.72,-24.94,-55.12708333333333,0.224,628.6458333333334,26.99416666666667,0
56,-82.98,-25.38,-54.63833333333333,0.217,629.5375,26.823333333333334,0
57,-83.06,-28.28,-54.91041666666666,0.215,630.2208333333333,26.91875,0
58,-86.42,-27.77,-55.33541666666667,0.228,629.4541666666667,27.06833333333333,0
59,-82.84,-23.24,-54.585,0.209,630.975,26.80333333333333,0
60,-83.33,-27.46,-54.92958333333333,0.22,631.3958333333334,26.925416666666667,0
61,-86.28,-26.92,-55.57791666666666,0.227,630.7208333333333,27.152083333333334,0
62,-83.34,-24.74,-54.848749999999995,0.24,632.3791666666667,26.89708333333333,0
63,-84.92,-26.83,-55.435,0.214,631.875,27.102083333333336,0
64,-84.8,-28.32,-55.314166666666665,0.229,631.7416666666667,27.060000000000002,0
65,-83.72,-27.01,-55.05625,0.221,632.8791666666667,26.969583333333333,0
66,-85.44,-27.2,-55.685,0.22,634.0458333333333,27.189166666666665,0
67,-84.53,-26.08,-55.175000000000004,0.26,633.4958333333333,27.011666666666667,0
68,-83.46,-26.39,-55.42166666666666,0.215,633.0208333333334,27.097916666666666,0
69,-83.58,-26.26,-55.06166666666667,0.225,634.7791666666667,26.971666666666668,0
70,-85.85,-26.36,-54.96,0.222,633.9208333333333,26.936666666666667,0
71,-82.85,-26.37,-55.01166666666666,0.217,634.3041666666667,26.953333333333333,0
72,-84.78,-26.04,-55.54708333333334,0.227,635.9791666666666,27.140416666666667,0
73,-84.55,-26.83,-55.107499999999995,0.219,634.7708333333334,26.988333333333333,0
74,-82.8,-25.42,-54.156666666666666,0.202,634.2291666666666,26.65416666666667,0
75,-84.31,-26.62,-54.70458333333334,0.231,636.1958333333333,26.84625,0
76,-82.99,-26.65,-55.068333333333335,0.205,636.7875,26.97375,0
77,-83.66,-26.48,-55.16125,0.197,635.5749999999999,27.006666666666664,0
78,-83.4,-27.72,-55.022083333333335,0.237,636.3208333333333,26.958333333333332,0
79,-83.12,-24.59,-54.9075,0.216,637.2833333333333,26.918333333333333,0
80,-84.57,-25.53,-55.17958333333333,0.218,637.9125,27.013333333333332,0
81,-85.1,-26.26,-54.87291666666667,0.241,636.5708333333333,26.905416666666667,0
82,-82.4,-24.06,-55.00833333333333,0.225,638.2708333333334,26.9525,0
83,-86.77,-26.66,-55.05875,0.22,636.8583333333333,26.97083333333333,0
84,-84.37,-26.35,-55.70875,0.239,638.5875,27.197916666666668,0
85,-84.26,-26.43,-55.199999999999996,0.221,638.6,27.019583333333333,0
86,-84.01,-26.05,-55.43875,0.212,638.8333333333334,27.10375,0
87,-84.39,-27.2,-54.8175,0.221,639.6875,26.887083333333333,0
88,-85.95,-25.98,-55.02041666666667,0.212,640.0708333333333,26.957083333333333,0
89,-84.85,-28.29,-55.29083333333333,0.227,640.0166666666667,27.051666666666666,0
90,-84.81,-25.96,-55.46041666666667,0.235,639.7291666666666,27.110833333333332,0
91,-83.43,-25.44,-54.72875,0.233,639.5416666666666,26.85625,0
92,-83.63,-26.58,-55.126666666666665,0.236,640.35,26.995,0
93,-82.24,-27.5,-55.407916666666665,0.252,640.0625,27.0925,0
94,-82.86,-26.87,-55.32041666666667,0.227,639.9458333333333,27.062083333333334,0
95,-83.59,-24.84,-54.96125,0.226,640.85,26.93625,0
96,-83.05,-26.69,-54.74,0.214,640.525,26.859166666666667,0
97,-83.13,-25.78,-55.27916666666667,0.228,641.4791666666666,27.047916666666666,0
98,-81.35,-24.13,-54.85874999999999,0.215,641.4375,26.90125,0
99,-82.58,-26.83,-54.98541666666667,0.221,642.5958333333333,26.944166666666664,0
100,-84.16,-26.9,-54.6325,0.219,642.8000000000001,26.820833333333336,0
101,-83.74,-26.61,-55.19083333333333,0.226,641.9499999999999,27.015833333333333,0
102,-83.82,-27.75,-54.98500000000001,0.235,642.9125,26.94333333333333,0
103,-83.27,-26.18,-55.665416666666665,0.215,642.7916666666666,27.18166666666667,0
104,-86.21,-25.84,-54.6525,0.224,643.7208333333333,26.8275,0
105,-84.29,-25.71,-54.706250000000004,0.244,642.9499999999999,26.84583333333333,0
106,-84.86,-25.92,-55.384166666666665,0.231,644.0916666666667,27.084999999999997,0
107,-84.65,-27.15,-55.91291666666667,0.23,643.7333333333333,27.268333333333334,0
108,-83.05,-27.64,-54.92166666666666,0.23,643.7541666666667,26.921666666666667,0
109,-84.84,-27.56,-55.04625000000001,0.233,643.8874999999999,26.966250000000002,0
110,-85.81,-26.59,-55.20791666666667,0.222,643.85,27.022916666666664,0
111,-85.61,-27.66,-55.69125,0.232,644.5958333333333,27.19125,0
112,-83.65,-27.42,-54.91083333333333,0.237,645.0583333333333,26.919166666666666,0
113,-82.91,-25.78,-54.791666666666664,0.221,644.4,26.876666666666665,0
114,-84.53,-26.69,-55.22833333333333,0.231,646.0583333333333,27.030833333333334,0
115,-85.34,-26.85,-55.04708333333334,0.233,644.5958333333333,26.9675,0
116,-85.63,-28.57,-54.94875,0.244,645.8708333333333,26.9325,0
117,-82.79,-25.78,-54.82041666666667,0.227,645.1125000000001,26.886666666666667,0
118,-82.37,-27.1,-54.751666666666665,0.225,644.8249999999999,26.862916666666667,0
119,-84.6,-25.86,-54.78791666666667,0.237,646.0124999999999,26.87625,0
120,-82.14,-24.28,-54.61000000000001,0.228,645.7208333333333,26.814166666666665,0
121,-82.55,-24.33,-54.6675,0.228,647.1125000000001,26.8325,0
122,-84.89,-28.19,-55.36375,0.241,646.5,27.0775,0
123,-84.91,-27.2,-55.06708333333333,0.24,646.7375000000001,26.97458333333333,0
124,-82.37,-25.28,-54.61083333333334,0.231,646.5375,26.81458333333333,0
125,-85.85,-26.0,-55.31166666666667,0.235,647.775,27.05875,0
126,-84.23,-26.53,-55.16,0.231,647.3125,27.00583333333333,0
127,-84.18,-26.24,-54.7175,0.23,647.0,26.851249999999997,0
128,-84.84,-24.99,-54.690416666666664,0.23,647.8541666666666,26.8425,0
129,-84.21,-26.49,-54.877916666666664,0.226,647.7291666666666,26.907083333333333,0
130,-83.06,-26.6,-54.91625,0.223,648.0208333333334,26.92,0
131,-82.19,-25.87,-54.999583333333334,0.236,647.7458333333333,26.949583333333333,0
132,-84.68,-27.29,-54.970416666666665,0.231,647.4166666666666,26.93958333333333,0
133,-82.95,-25.65,-55.54624999999999,0.244,648.1208333333333,27.142083333333332,0
134,-83.05,-27.96,-55.435833333333335,0.226,648.7166666666667,27.102500000000003,0
135,-82.69,-23.67,-54.776250000000005,0.228,648.0541666666667,26.871666666666666,0
136,-83.93,-26.86,-54.989583333333336,0.241,649.1583333333333,26.94541666666667,0
137,-82.19,-24.84,-54.659166666666664,0.237,648.9083333333333,26.830416666666665,0
138,-84.35,-27.24,-55.10583333333333,0.226,648.525,26.98625,0
139,-84.29,-25.33,-54.98291666666666,0.226,649.8625000000001,26.942916666666665,0
140,-82.09,-26.3,-54.8525,0.231,648.5,26.89833333333333,0
141,-84.47,-24.92,-54.975,0.237,650.1666666666666,26.941666666666666,0
142,-84.0,-26.09,-54.89541666666667,0.236,649.6875,26.912916666666664,0
143,-84.17,-28.02,-55.064166666666665,0.233,649.1583333333333,26.972083333333334,0
144,-82.91,-27.58,-55.199999999999996,0.229,648.9250000000001,27.019583333333333,0
145,-80.57,-25.64,-54.98791666666667,0.232,648.7791666666667,26.945833333333336,0
146,-83.88,-26.09,-55.044999999999995,0.245,650.5041666666667,26.965,0
147,-83.57,-26.39,-54.965833333333336,0.244,649.4041666666667,26.937916666666666,0
148,-85.84,-26.75,-54.85791666666666,0.231,648.1208333333333,26.900833333333335,0
149,-83.13,-27.31,-54.78333333333333,0.246,649.5458333333333,26.874583333333334,0
150,-82.83,-25.84,-54.49583333333334,0.242,650.5666666666667,26.772499999999997,0
151,-84.61,-25.73,-55.04333333333333,0.24,648.5375,26.965833333333332,0
152,-82.36,-25.94,-54.86875,0.222,649.2333333333333,26.903333333333336,0
153,-83.48,-27.15,-55.135,0.229,649.5666666666667,26.997500000000002,0
154,-85.84,-27.1,-54.90708333333333,0.243,648.5166666666667,26.918333333333333,0
155,-85.15,-26.15,-54.97208333333333,0.234,651.025,26.93958333333333,0
156,-84.97,-23.7,-54.626666666666665,0.244,649.7583333333333,26.819999999999997,0
157,-82.4,-23.56,-54.33166666666667,0.225,650.0958333333333,26.716250000000002,0
158,-81.95,-27.97,-55.24583333333334,0.262,650.2624999999999,27.035416666666666,0
159,-83.6,-26.42,-55.038333333333334,0.239,650.0375,26.964583333333334,0
160,-84.52,-27.84,-55.15,0.245,648.875,27.001666666666665,0
161,-84.42,-24.0,-54.82125,0.228,650.6750000000001,26.8875,0
162,-83.01,-28.62,-55.29208333333333,0.241,650.5708333333333,27.0525,0
163,-83.31,-25.81,-54.645,0.255,650.7666666666667,26.825833333333335,0
164,-84.12,-24.77,-54.622083333333336,0.234,650.5458333333333,26.817083333333333,0
165,-85.86,-27.15,-55.0425,0.24,650.1041666666666,26.965416666666666,0
166,-83.12,-24.02,-54.434583333333336,0.244,650.5875,26.75125,0
167,-83.67,-27.2,-55.05916666666667,0.258,650.7125,26.970416666666665,0
168,-82.95,-25.2,-54.91291666666667,0.236,650.4250000000001,26.91875,0
169,-83.7,-24.69,-54.83041666666667,0.223,649.9625,26.89,0
170,-85.07,-27.47,-55.379999999999995,0.25,649.7041666666667,27.082916666666666,0
171,-86.15,-27.06,-56.08916666666667,0.231,649.8708333333333,27.33125,0
172,-83.0,-26.39,-55.06041666666667,0.233,649.4,26.971249999999998,0
173,-81.66,-27.44,-55.04083333333333,0.245,650.225,26.965,0
174,-82.69,-27.04,-55.03458333333333,0.244,648.7833333333333,26.96166666666667,0
175,-84.48,-24.81,-54.89125000000001,0.231,649.25,26.911666666666665,0
176,-83.09,-25.94,-54.7775,0.248,649.9083333333334,26.872083333333336,0
177,-83.11,-25.26,-54.82666666666666,0.241,649.4625,26.889583333333334,0
178,-82.71,-24.95,-55.13458333333333,0.22,649.4875000000001,26.99791666666667,0
179,-83.88,-24.91,-55.052083333333336,0.255,649.8041666666667,26.967916666666667,0
180,-92.6,-32.95,-63.747083333333336,2.996,664.8125,42.01583333333333,1
181,-91.93,-37.62,-64.39416666666666,3.004,664.1083333333333,42.33166666666667,1
182,-94.71,-34.61,-64.33916666666667,3.051,664.7416666666667,42.305416666666666,1
183,-91.34,-34.94,-64.53541666666666,3.012,664.1666666666666,42.402499999999996,1
184,-94.73,-33.95,-64.15208333333334,3.072,664.1791666666667,42.21541666666666,1
185,-94.75,-34.12,-65.24958333333333,3.044,664.375,42.75208333333333,1
186,-93.94,-38.22,-64.965,3.232,663.275,42.61375,1
187,-93.52,-37.72,-64.79125,3.142,664.775,42.526666666666664,1
188,-94.73,-34.57,-64.93958333333333,3.174,663.3874999999999,42.600833333333334,1
189,-93.19,-35.13,-65.32000000000001,3.333,665.1708333333333,42.786249999999995,1
190,-93.43,-36.19,-65.06583333333333,3.254,665.3375,42.662083333333335,1
191,-96.19,-36.55,-65.19833333333334,3.231,664.3041666666667,42.72625,1
192,-91.42,-36.03,-65.31666666666666,3.331,663.2541666666667,42.78541666666666,1
193,-94.52,-36.52,-65.6125,3.431,662.8458333333333,42.93083333333333,1
194,-94.69,-37.67,-65.20791666666666,3.379,663.4958333333333,42.73208333333333,1
195,-94.98,-33.46,-65.7675,3.376,663.7833333333333,43.007083333333334,1
196,-95.76,-37.19,-66.01,3.443,662.9083333333333,43.125,1
197,-95.44,-37.47,-65.29625,3.421,662.5208333333334,42.77583333333333,1
198,-93.84,-35.88,-65.655,3.457,662.1041666666666,42.951249999999995,1
199,-93.8,-36.09,-66.065,3.517,663.4250000000001,43.1525,1
200,-94.8,-35.67,-65.82666666666667,3.506,662.4833333333333,43.03583333333333,1
201,-92.42,-36.19,-65.42208333333333,3.59,664.2958333333333,42.83583333333333,1
202,-94.11,-37.07,-66.20916666666666,3.507,662.6208333333333,43.2225,1
203,-96.13,-35.87,-66.36125,3.544,663.0625,43.29666666666666,1
204,-96.85,-36.52,-66.21875,3.622,662.4291666666667,43.22625,1
205,-95.21,-36.68,-66.29333333333334,3.536,662.4666666666667,43.26291666666666,1
206,-96.72,-37.99,-66.75375,3.567,663.3666666666667,43.48916666666667,1
207,-96.68,-37.34,-65.91208333333334,3.591,662.8291666666667,43.07791666666666,1
208,-97.1,-36.54,-66.76208333333334,3.629,662.1875,43.494166666666665,1
209,-95.19,-38.84,-66.65083333333332,3.579,662.8041666666667,43.437916666666666,1
210,-94.66,-36.89,-66.70041666666667,3.634,661.0625,43.464166666666664,1
211,-95.41,-37.61,-66.57208333333334,3.667,661.9083333333333,43.401250000000005,1
212,-97.09,-38.52,-66.77166666666666,3.557,662.4583333333334,43.49791666666667,1
213,-96.71,-36.29,-66.09625,3.595,662.2583333333333,43.16833333333333,1
214,-95.27,-36.41,-66.78041666666667,3.609,660.8125,43.502916666666664,1
215,-95.21,-38.92,-66.61791666666666,3.63,660.9458333333333,43.42291666666667,1
216,-96.57,-35.91,-66.37,3.605,661.3625000000001,43.30166666666667,1
217,-95.79,-36.31,-66.37666666666667,3.544,660.8958333333334,43.30375,1
218,-93.64,-37.88,-66.70333333333333,3.507,660.6833333333333,43.46458333333334,1
219,-94.27,-38.84,-66.34625,3.447,660.1791666666667,43.28875,1
220,-97.14,-38.61,-66.89874999999999,3.46,661.0875,43.56041666666667,1
221,-93.91,-38.0,-66.45416666666667,3.463,660.3666666666667,43.34166666666667,1
222,-93.7,-37.13,-66.31291666666667,3.513,659.9291666666667,43.27291666666667,1
223,-95.74,-37.64,-66.16541666666667,3.582,660.4041666666667,43.20166666666666,1
224,-96.61,-36.87,-66.27208333333333,3.538,658.6458333333334,43.25375,1
225,-95.97,-38.8,-66.39333333333333,3.508,659.2333333333333,43.3125,1
226,-92.64,-38.18,-65.94625,3.455,657.7791666666666,43.093333333333334,1
227,-93.83,-37.78,-66.00208333333333,3.383,659.0833333333334,43.12125,1
228,-95.14,-35.56,-65.45791666666666,3.431,658.3083333333333,42.85458333333333,1
229,-93.49,-35.94,-65.72541666666667,3.335,657.7166666666667,42.986250000000005,1
230,-94.36,-37.31,-65.91250000000001,3.368,657.7041666666667,43.07666666666666,1
231,-94.41,-37.52,-65.57458333333334,3.342,657.9625,42.911249999999995,1
232,-93.72,-35.46,-65.18583333333333,3.26,657.4208333333333,42.72083333333333,1
233,-97.65,-37.21,-66.07541666666667,3.287,656.6166666666667,43.15625,1
234,-92.08,-36.95,-65.22458333333334,3.183,656.8166666666667,42.74041666666667,1
235,-93.02,-37.2,-65.345,3.164,656.7708333333334,42.79833333333334,1
236,-94.65,-36.39,-65.23625,3.183,657.8291666666667,42.74541666666667,1
237,-95.15,-35.62,-65.83166666666666,3.235,656.3541666666666,43.03791666666667,1
238,-92.32,-38.45,-64.59875,3.142,656.8791666666667,42.434583333333336,1
239,-92.34,-36.36,-64.52,3.085,657.2666666666667,42.39416666666667,1
240,-94.27,-36.07,-64.53583333333333,3.19,656.525,42.402499999999996,1
241,-91.82,-35.08,-63.92958333333333,2.972,656.5875,42.10458333333333,1
242,-93.05,-34.44,-64.54208333333334,2.945,655.2583333333333,42.405,1
243,-92.57,-37.81,-64.07916666666667,2.969,656.2375000000001,42.17958333333333,1
244,-93.78,-37.62,-64.3975,3.075,655.0083333333333,42.335,1
245,-91.99,-36.52,-64.50625000000001,3.031,654.6833333333333,42.38833333333333,1
246,-95.89,-37.13,-64.72083333333333,3.11,654.1916666666667,42.49375,1
247,-92.81,-34.93,-65.42666666666666,3.104,654.3208333333333,42.83916666666667,1
248,-92.96,-36.97,-64.57125,3.103,653.5916666666667,42.419583333333335,1
249,-99.53,-36.77,-65.47083333333333,3.194,653.2375,42.86083333333334,1
250,-95.3,-37.09,-65.08125,3.105,652.625,42.669999999999995,1
251,-94.23,-36.32,-64.92,3.223,652.5583333333333,42.59083333333333,1
252,-95.7,-35.39,-65.28833333333334,3.168,652.8708333333333,42.77041666666667,1
253,-94.84,-35.63,-65.27833333333334,3.289,652.4291666666667,42.76583333333334,1
254,-93.93,-36.94,-65.62875,3.327,651.3625000000001,42.93833333333333,1
255,-93.37,-35.99,-65.19875,3.397,652.4416666666667,42.72833333333333,1
256,-94.47,-36.69,-65.87458333333333,3.279,651.6583333333334,43.05875,1
257,-92.84,-35.42,-65.59041666666667,3.475,652.6666666666666,42.91916666666666,1
258,-95.48,-38.75,-65.56791666666668,3.529,650.9875000000001,42.90833333333333,1
259,-95.37,-36.17,-65.50083333333333,3.406,651.7041666666667,42.87416666666667,1
260,-95.08,-38.41,-65.77458333333333,3.421,650.5875,43.009166666666665,1
261,-83.06,-27.39,-55.51541666666666,0.215,635.7166666666667,27.131666666666664,0
262,-83.25,-27.92,-54.61958333333333,0.211,634.8000000000001,26.81625,0
263,-82.16,-25.64,-55.208333333333336,0.213,635.9208333333333,27.02208333333333,0
264,-84.29,-25.82,-54.74208333333333,0.222,633.8541666666666,26.859583333333333,0
265,-83.81,-24.51,-55.156666666666666,0.213,634.4833333333333,27.005416666666665,0
266,-85.04,-25.63,-55.312916666666666,0.227,634.0124999999999,27.059166666666666,0
267,-82.03,-28.47,-54.981249999999996,0.226,633.6416666666667,26.9425,0
268,-83.55,-25.61,-55.262499999999996,0.209,632.1458333333334,27.0425,0
269,-82.61,-26.59,-55.085,0.204,634.4,26.980416666666667,0
270,-83.33,-27.87,-54.88041666666666,0.218,632.9291666666667,26.907916666666665,0
271,-83.41,-25.21,-55.17166666666666,0.199,632.0291666666667,27.010833333333334,0
272,-84.01,-26.61,-55.27791666666667,0.226,631.7166666666667,27.047916666666666,0
273,-84.03,-26.3,-55.197916666666664,0.232,632.9499999999999,27.02,0
274,-82.49,-26.17,-54.86041666666667,0.218,631.5791666666667,26.90125,0
275,-83.23,-27.45,-54.82041666666667,0.218,631.3583333333333,26.887083333333333,0
276,-84.71,-28.39,-55.66166666666667,0.205,630.3625,27.182083333333335,0
277,-84.42,-23.22,-54.73166666666666,0.21,630.85,26.85625,0
278,-87.45,-25.62,-55.12875,0.209,629.2916666666666,26.995416666666667,0
279,-84.26,-26.69,-55.29291666666666,0.204,630.35,27.052083333333332,0
280,-82.4,-27.2,-54.70416666666667,0.213,628.6458333333334,26.846666666666664,0
281,-82.42,-26.44,-55.36875,0.212,629.15,27.078333333333333,0
282,-83.45,-27.53,-54.54666666666666,0.24,629.2166666666667,26.790833333333335,0
283,-84.19,-26.22,-55.74791666666667,0.204,628.475,27.212083333333336,0
284,-84.53,-26.44,-55.42208333333334,0.21,628.9375,27.0975,0
285,-83.24,-24.63,-54.60458333333333,0.202,628.7416666666667,26.81125,0
286,-85.15,-26.09,-54.98416666666666,0.213,627.8833333333333,26.94458333333333,0
287,-83.03,-27.1,-54.95583333333334,0.211,627.3249999999999,26.934583333333332,0
288,-83.1,-25.06,-54.754999999999995,0.206,627.2416666666667,26.864583333333332,0
289,-83.92,-27.46,-55.52583333333333,0.207,626.3375,27.13416666666667,0
290,-82.73,-27.4,-55.07666666666666,0.208,626.3333333333334,26.977083333333336,0
291,-85.29,-27.73,-55.35791666666666,0.205,625.9166666666666,27.074583333333333,0
292,-82.27,-26.87,-54.90541666666667,0.223,625.5041666666667,26.9175,0
293,-86.56,-24.9,-55.250416666666666,0.2,624.6625,27.03833333333333,0
294,-84.74,-25.67,-55.17666666666667,0.214,624.5291666666667,27.011666666666667,0
295,-83.6,-26.36,-55.342083333333335,0.217,623.8874999999999,27.06958333333333,0
296,-83.06,-26.54,-55.06,0.198,623.7958333333333,26.97083333333333,0
297,-83.57,-26.44,-55.30875,0.202,623.5,27.057916666666667,0
298,-83.78,-25.23,-54.57333333333333,0.198,623.9583333333334,26.800833333333333,0
299,-84.27,-27.02,-55.430416666666666,0.205,622.9791666666666,27.100416666666664,0
300,-82.3,-27.64,-54.625416666666666,0.211,622.3333333333334,26.819166666666664,0
301,-83.86,-26.97,-55.14791666666667,0.209,622.0375,27.001666666666665,0
302,-83.34,-27.69,-54.98083333333333,0.196,622.4833333333333,26.943749999999998,0
303,-84.82,-24.49,-54.925000000000004,0.202,621.9250000000001,26.924166666666668,0
304,-83.12,-27.04,-54.752916666666664,0.194,620.0375,26.862916666666667,0
305,-82.45,-25.84,-55.17791666666667,0.212,620.5208333333334,27.012083333333333,0
306,-84.98,-28.08,-55.30125,0.201,620.4958333333333,27.05541666666667,0
307,-83.26,-24.33,-54.475,0.206,620.8333333333334,26.7675,0
308,-82.0,-27.39,-55.11708333333333,0.185,620.3916666666667,26.990416666666665,0
309,-85.21,-28.25,-55.99875,0.184,618.6208333333333,27.3,0
310,-85.01,-26.03,-55.08916666666667,0.193,619.7583333333333,26.98,0
311,-83.5,-26.87,-55.52041666666667,0.206,618.7291666666666,27.13291666666667,0
312,-83.65,-24.29,-54.721666666666664,0.206,619.225,26.852083333333336,0
313,-82.51,-27.25,-55.23291666666666,0.195,617.7791666666667,27.03125,0
314,-86.1,-28.23,-55.14333333333334,0.207,618.0208333333334,27.000833333333333,0
315,-82.36,-24.81,-55.22833333333333,0.197,617.1125000000001,27.028333333333332,0
316,-82.97,-27.17,-55.02,0.197,616.8125,26.958333333333332,0
317,-82.24,-28.11,-55.201249999999995,0.199,616.1750000000001,27.021666666666665,0
318,-85.74,-25.8,-55.5725,0.203,616.6166666666667,27.150833333333335,0
319,-85.17,-26.84,-55.22083333333333,0.204,615.7125,27.026666666666667,0
320,-84.15,-25.88,-55.017500000000005,0.194,615.0083333333333,26.955833333333334,0
321,-84.75,-25.98,-54.77583333333333,0.193,615.125,26.870833333333334,0
322,-84.32,-25.34,-54.48374999999999,0.201,614.5666666666667,26.769166666666667,0
323,-84.38,-25.26,-55.365,0.196,614.7708333333334,27.077916666666667,0
324,-82.5,-27.03,-54.57083333333333,0.199,613.8416666666667,26.8,0
325,-82.34,-28.46,-55.17583333333334,0.198,612.7208333333333,27.011666666666667,0
326,-83.36,-27.04,-55.382083333333334,0.195,612.9916666666667,27.0825,0
327,-83.67,-29.24,-55.14833333333333,0.205,612.5,27.00125,0
328,-83.93,-27.19,-54.88708333333333,0.178,612.3708333333333,26.91125,0
329,-86.46,-26.36,-55.48083333333333,0.172,611.8083333333333,27.118750000000002,0
330,-85.27,-25.98,-55.13958333333333,0.178,611.1291666666667,26.99875,0
331,-84.68,-25.41,-54.70666666666667,0.188,611.0541666666667,26.847083333333334,0
332,-87.37,-26.21,-55.49458333333334,0.199,611.5500000000001,27.123333333333335,0
333,-83.27,-27.07,-54.85791666666666,0.167,610.5583333333333,26.900833333333335,0
334,-84.18,-25.0,-54.67458333333334,0.186,609.7041666666667,26.835416666666664,0
335,-84.3,-25.55,-55.41416666666667,0.188,608.8874999999999,27.09625,0
336,-84.3,-24.98,-55.12291666666667,0.182,609.3833333333333,26.993750000000002,0
337,-83.57,-26.43,-54.9125,0.191,608.5083333333333,26.919583333333335,0
338,-83.6,-25.97,-54.52291666666667,0.181,608.1666666666666,26.78333333333333,0
339,-84.88,-28.28,-55.17458333333334,0.252,608.4666666666667,27.010833333333334,0
340,-81.95,-27.92,-55.26458333333333,0.209,607.5875,27.0425,0
